Населба,Квадратура,Соби,Спрат,Лифт,Греење,Паркинг,Цена (EUR)
4.0,30.0,2.0,1.0,-1.0,-1.0,-1.0,45000.0
31.0,56.0,2.0,0.0,-1.0,1.0,-1.0,66300.0
8.0,72.0,3.0,1.0,1.0,1.0,1.0,91000.0
5.0,68.0,3.0,5.0,1.0,1.0,1.0,71400.0
5.0,47.0,2.0,3.0,1.0,1.0,1.0,49350.0
30.0,120.0,3.0,2.0,1.0,1.0,1.0,110000.0
2.0,97.0,0.0,4.0,-1.0,1.0,-1.0,84660.0
8.0,60.0,3.0,6.0,1.0,-1.0,1.0,70500.0
8.0,94.0,3.0,0.0,-1.0,1.0,-1.0,100000.0
34.0,120.0,5.0,9.0,-1.0,1.0,-1.0,101000.0
34.0,159.0,4.0,10.0,1.0,1.0,1.0,130000.0
6.0,65.0,3.0,4.0,-1.0,1.0,-1.0,64500.0
24.0,45.0,2.0,3.0,1.0,-1.0,-1.0,38100.0
4.0,76.0,3.0,0.0,-1.0,-1.0,1.0,78000.0
2.0,114.0,4.0,4.0,1.0,1.0,-1.0,85000.0
6.0,57.0,2.0,4.0,-1.0,1.0,-1.0,52000.0
34.0,89.0,4.0,6.0,1.0,1.0,-1.0,96000.0
2.0,72.0,3.0,6.0,1.0,1.0,-1.0,80000.0
29.0,130.0,4.0,3.0,-1.0,1.0,1.0,119000.0
8.0,86.0,4.0,2.0,1.0,1.0,1.0,110000.0
30.0,107.0,3.0,6.0,1.0,-1.0,1.0,99000.0
29.0,140.0,4.0,3.0,-1.0,1.0,1.0,112000.0
8.0,76.0,3.0,4.0,-1.0,1.0,-1.0,71500.0
8.0,105.0,4.0,2.0,-1.0,-1.0,1.0,88000.0
8.0,89.0,3.0,6.0,1.0,1.0,1.0,106800.0
4.0,200.0,5.0,2.0,1.0,-1.0,-1.0,270000.0
4.0,200.0,5.0,1.0,1.0,1.0,-1.0,270000.0
10.0,90.0,4.0,9.0,1.0,1.0,-1.0,73800.0
2.0,80.0,3.0,3.0,-1.0,1.0,-1.0,70000.0
21.0,48.0,2.0,0.0,-1.0,-1.0,-1.0,46500.0
30.0,93.0,4.0,3.0,-1.0,1.0,-1.0,75000.0
8.0,105.0,0.0,1.0,-1.0,-1.0,-1.0,94500.0
8.0,81.0,4.0,3.0,1.0,1.0,-1.0,107400.0
7.0,44.0,3.0,0.0,-1.0,1.0,1.0,68000.0
6.0,98.0,4.0,8.0,1.0,1.0,1.0,87000.0
5.0,83.0,3.0,4.0,1.0,1.0,-1.0,73000.0
2.0,90.0,3.0,4.0,1.0,1.0,1.0,83000.0
8.0,103.0,3.0,2.0,1.0,1.0,-1.0,96200.0
31.0,101.0,4.0,5.0,1.0,1.0,-1.0,127500.0
12.0,180.0,4.0,3.0,-1.0,1.0,1.0,225000.0
5.0,97.0,4.0,1.0,-1.0,1.0,-1.0,105000.0
7.0,92.0,4.0,9.0,1.0,1.0,-1.0,85000.0
6.0,41.0,2.0,1.0,1.0,1.0,-1.0,50200.0
6.0,73.0,3.0,2.0,1.0,1.0,-1.0,84800.0
6.0,72.0,3.0,2.0,1.0,1.0,-1.0,83700.0
6.0,44.0,2.0,0.0,1.0,1.0,-1.0,53860.0
8.0,67.0,3.0,4.0,1.0,1.0,-1.0,115000.0
33.0,71.0,2.0,2.0,1.0,1.0,-1.0,66000.0
8.0,80.0,3.0,3.0,1.0,1.0,-1.0,117300.0
29.0,95.0,3.0,2.0,-1.0,1.0,-1.0,78000.0
5.0,55.0,2.0,2.0,-1.0,1.0,-1.0,52500.0
4.0,86.0,3.0,2.0,-1.0,1.0,-1.0,111800.0
4.0,85.0,4.0,0.0,-1.0,1.0,-1.0,97750.0
8.0,100.0,3.0,2.0,-1.0,-1.0,1.0,92000.0
29.0,61.0,3.0,2.0,1.0,1.0,-1.0,82000.0
16.0,87.0,3.0,4.0,1.0,1.0,-1.0,76500.0
3.0,88.0,4.0,2.0,-1.0,1.0,-1.0,84500.0
33.0,124.0,4.0,3.0,-1.0,1.0,-1.0,97500.0
8.0,98.0,3.0,4.0,-1.0,1.0,-1.0,73500.0
8.0,62.0,3.0,4.0,1.0,1.0,-1.0,77500.0
1.0,65.0,3.0,5.0,-1.0,-1.0,-1.0,48000.0
31.0,90.0,3.0,1.0,-1.0,1.0,1.0,103000.0
28.0,80.0,3.0,3.0,-1.0,-1.0,-1.0,75000.0
28.0,89.0,4.0,0.0,-1.0,1.0,-1.0,89000.0
4.0,83.0,3.0,1.0,-1.0,-1.0,-1.0,104800.0
8.0,46.0,2.0,9.0,-1.0,1.0,-1.0,54000.0
34.0,70.0,2.0,2.0,-1.0,1.0,-1.0,63000.0
8.0,112.0,5.0,4.0,1.0,1.0,-1.0,130000.0
32.0,68.0,4.0,1.0,-1.0,-1.0,-1.0,49000.0
6.0,93.0,3.0,4.0,-1.0,1.0,-1.0,128000.0
33.0,95.0,4.0,9.0,1.0,1.0,-1.0,83000.0
8.0,78.0,2.0,4.0,1.0,1.0,-1.0,75500.0
25.0,60.0,3.0,3.0,-1.0,-1.0,-1.0,38400.0
8.0,64.0,3.0,2.0,-1.0,1.0,-1.0,78400.0
15.0,190.0,4.0,2.0,-1.0,-1.0,-1.0,190000.0
8.0,60.0,2.0,9.0,1.0,1.0,-1.0,61200.0
8.0,83.0,3.0,4.0,-1.0,1.0,-1.0,72000.0
29.0,80.0,3.0,1.0,-1.0,1.0,-1.0,85900.0
6.0,82.0,3.0,5.0,-1.0,1.0,-1.0,85000.0
16.0,101.0,3.0,11.0,1.0,-1.0,-1.0,86000.0
10.0,60.0,3.0,1.0,-1.0,-1.0,-1.0,57200.0
8.0,140.0,5.0,4.0,-1.0,1.0,-1.0,110000.0
29.0,111.0,4.0,1.0,1.0,1.0,1.0,117000.0
31.0,100.0,4.0,0.0,-1.0,1.0,-1.0,133000.0
34.0,96.0,3.0,5.0,-1.0,-1.0,-1.0,102900.0
34.0,64.0,3.0,5.0,-1.0,-1.0,-1.0,75000.0
5.0,84.0,3.0,7.0,1.0,1.0,-1.0,59400.0
29.0,89.0,3.0,0.0,-1.0,1.0,-1.0,90000.0
8.0,70.0,3.0,2.0,-1.0,1.0,-1.0,74500.0
8.0,58.0,2.0,1.0,-1.0,1.0,-1.0,70300.0
8.0,69.0,3.0,2.0,-1.0,1.0,-1.0,82800.0
8.0,176.0,5.0,5.0,-1.0,1.0,1.0,183600.0
29.0,154.0,4.0,2.0,-1.0,1.0,1.0,138000.0
31.0,122.0,4.0,2.0,-1.0,1.0,-1.0,157500.0
34.0,100.0,4.0,6.0,-1.0,1.0,-1.0,117500.0
4.0,85.0,3.0,4.0,1.0,1.0,-1.0,120000.0
8.0,97.0,4.0,3.0,1.0,1.0,-1.0,137700.0
1.0,73.0,3.0,3.0,1.0,-1.0,1.0,61200.0
5.0,70.0,3.0,0.0,-1.0,1.0,-1.0,72000.0
17.0,80.0,0.0,4.0,-1.0,-1.0,-1.0,130000.0
8.0,67.0,3.0,1.0,1.0,-1.0,-1.0,76500.0
33.0,84.0,3.0,7.0,-1.0,1.0,-1.0,68000.0
8.0,84.0,3.0,5.0,1.0,1.0,-1.0,122500.0
6.0,149.0,0.0,6.0,-1.0,-1.0,-1.0,130000.0
25.0,55.0,2.0,4.0,-1.0,-1.0,1.0,38000.0
5.0,51.0,2.0,1.0,1.0,1.0,-1.0,51000.0
6.0,55.0,2.0,2.0,-1.0,-1.0,-1.0,58000.0
34.0,57.0,2.0,0.0,-1.0,-1.0,-1.0,61500.0
4.0,137.0,4.0,1.0,-1.0,1.0,1.0,350000.0
25.0,60.0,2.0,2.0,-1.0,-1.0,-1.0,60000.0
6.0,93.0,5.0,0.0,-1.0,-1.0,-1.0,100000.0
8.0,81.0,3.0,9.0,1.0,1.0,-1.0,89900.0
28.0,110.0,4.0,0.0,-1.0,1.0,-1.0,92000.0
5.0,52.0,3.0,1.0,-1.0,-1.0,-1.0,51000.0
8.0,57.0,3.0,4.0,-1.0,1.0,1.0,58000.0
12.0,210.0,4.0,5.0,-1.0,1.0,-1.0,252000.0
5.0,104.0,4.0,2.0,1.0,1.0,-1.0,111400.0
5.0,56.0,2.0,2.0,1.0,1.0,-1.0,65700.0
8.0,105.0,3.0,6.0,1.0,1.0,-1.0,115000.0
8.0,69.0,3.0,4.0,-1.0,1.0,-1.0,80000.0
8.0,115.0,4.0,4.0,1.0,1.0,1.0,133000.0
10.0,49.0,2.0,2.0,-1.0,1.0,-1.0,52100.0
8.0,94.0,3.0,1.0,-1.0,-1.0,-1.0,160000.0
5.0,86.0,4.0,4.0,-1.0,1.0,-1.0,73800.0
5.0,46.0,2.0,3.0,1.0,1.0,-1.0,51000.0
5.0,79.0,3.0,6.0,1.0,1.0,1.0,79600.0
6.0,103.0,3.0,5.0,1.0,-1.0,-1.0,112200.0
1.0,68.0,3.0,3.0,-1.0,-1.0,1.0,55000.0
8.0,95.0,4.0,0.0,-1.0,1.0,-1.0,91000.0
8.0,93.0,3.0,3.0,-1.0,1.0,1.0,102300.0
30.0,76.0,3.0,2.0,-1.0,-1.0,-1.0,70400.0
6.0,106.0,4.0,4.0,-1.0,1.0,1.0,95400.0
6.0,101.0,4.0,1.0,-1.0,1.0,-1.0,88000.0
6.0,62.0,3.0,5.0,-1.0,-1.0,-1.0,65000.0
8.0,36.0,0.0,2.0,1.0,1.0,1.0,44900.0
33.0,60.0,3.0,2.0,1.0,1.0,1.0,71400.0
2.0,57.0,3.0,2.0,1.0,1.0,-1.0,66900.0
30.0,80.0,3.0,4.0,-1.0,-1.0,1.0,61200.0
8.0,78.0,3.0,2.0,-1.0,1.0,-1.0,96000.0
