Населба,Квадратура,Соби,Спрат,Лифт,Греење,Паркинг,Цена (EUR)
1,25.0,2,1,1.0,1.0,0.0,18750.0
2,96.0,4,4,1.0,1.0,1.0,96000.0
8,94.0,4,3,0.0,1.0,0.0,99990.0
6,74.0,3,2,0.0,1.0,1.0,74000.0
6,36.0,2,2,0.0,1.0,1.0,41000.0
6,86.0,3,3,0.0,1.0,1.0,83000.0
2,83.0,2,5,1.0,1.0,1.0,91300.0
30,66.0,2,5,1.0,1.0,0.0,48000.0
6,50.0,2,1,1.0,1.0,1.0,65000.0
6,70.0,3,3,1.0,1.0,0.0,63000.0
6,72.0,2,2,1.0,1.0,1.0,81000.0
6,55.0,2,1,1.0,1.0,0.0,58500.0
6,100.0,4,2,1.0,1.0,0.0,110000.0
6,52.0,2,2,0.0,1.0,0.0,50000.0
6,101.0,4,5,1.0,1.0,0.0,126000.0
6,43.0,1,4,0.0,1.0,1.0,41000.0
5,43.0,2,4,0.0,1.0,1.0,41000.0
2,83.0,4,2,1.0,1.0,1.0,78850.0
1,59.0,3,2,1.0,1.0,1.0,57230.0
1,45.0,3,1,0.0,1.0,1.0,41400.0
18,170.0,4,6,1.0,1.0,1.0,78000.0
2,76.0,4,8,1.0,1.0,1.0,64599.0
5,47.0,2,6,1.0,1.0,1.0,60000.0
30,79.0,"3,5",1,1.0,0.0,0.0,67150.0
8,180.0,4,2,1.0,1.0,1.0,243000.0
2,75.0,4,3,0.0,1.0,1.0,65000.0
2,54.0,3,9,1.0,1.0,1.0,69660.0
8,65.0,3,0,1.0,1.0,1.0,70150.0
5,79.0,4,9,1.0,1.0,1.0,96000.0
36,54.0,3,0,1.0,1.0,1.0,46000.0
30,90.0,4,2,0.0,1.0,0.0,55500.0
6,76.0,3,2,0.0,1.0,1.0,100000.0
8,120.0,3,3,1.0,1.0,0.0,180000.0
8,74.0,3,5,1.0,1.0,1.0,99900.0
2,84.0,"3,5",6,1.0,1.0,1.0,72000.0
8,75.0,3,2,1.0,1.0,1.0,67500.0
2,79.0,4,1,1.0,1.0,1.0,74000.0
5,109.0,4,1,1.0,1.0,1.0,106820.0
5,24.0,1,3,1.0,1.0,1.0,28800.0
5,66.0,3,5,1.0,1.0,1.0,75500.0
2,78.0,3,3,0.0,1.0,1.0,75000.0
6,62.0,2,5,1.0,1.0,1.0,77500.0
5,71.0,3,0,1.0,1.0,1.0,63000.0
2,75.0,3,4,0.0,1.0,1.0,60000.0
2,75.0,3,0,1.0,1.0,1.0,78750.0
2,47.0,2,3,1.0,1.0,1.0,48000.0
2,55.0,2,6,1.0,1.0,1.0,55000.0
5,66.0,2,7,1.0,1.0,1.0,58000.0
5,70.0,2,2,1.0,1.0,1.0,64000.0
5,51.0,2,4,1.0,1.0,1.0,50000.0
2,55.0,2,5,1.0,1.0,1.0,58500.0
2,48.0,2,4,1.0,1.0,0.0,53000.0
2,67.0,3,2,1.0,1.0,1.0,75000.0
2,52.0,2,6,1.0,1.0,1.0,49000.0
2,69.0,3,1,1.0,1.0,1.0,79000.0
5,61.0,"2,5",6,1.0,1.0,1.0,57000.0
8,36.0,1,5,1.0,1.0,1.0,29000.0
2,85.0,3,6,1.0,1.0,1.0,95200.0
36,45.0,2,1,0.0,1.0,1.0,26000.0
2,87.0,4,4,0.0,1.0,1.0,75000.0
36,54.0,"2,5",1,0.0,1.0,1.0,25000.0
8,90.0,3,9,1.0,1.0,1.0,108000.0
6,63.0,3,7,1.0,1.0,1.0,66000.0
2,54.0,3,9,1.0,1.0,1.0,69660.0
8,120.0,3,3,1.0,1.0,1.0,180000.0
36,53.0,2,4,0.0,0.0,1.0,33000.0
6,42.0,1,5,1.0,1.0,0.0,47460.0
39,77.0,3,1,1.0,1.0,1.0,69300.0
6,52.0,"2,5",4,0.0,1.0,1.0,46000.0
2,52.0,2,6,1.0,1.0,0.0,49900.0
2,79.0,4,0,1.0,1.0,1.0,72000.0
8,25.0,1,2,1.0,1.0,1.0,31250.0
2,80.0,3,7,1.0,1.0,1.0,65000.0
6,33.0,2,0,1.0,1.0,1.0,42000.0
5,64.0,3,7,1.0,1.0,1.0,50500.0
5,68.0,3,3,1.0,1.0,1.0,63000.0
36,33.0,1,1,1.0,1.0,1.0,31350.0
6,97.0,4,3,1.0,1.0,1.0,80000.0
